"Other_symbol"	"Type_of_symbol"	"Approved.symbol"	"NCBI.Gene.ID"	"Ensembl.gene.ID"
"NCRNA00181"	"Previous_symbol"	"A1BG-AS1"	"   503538"	"ENSG00000268895"
"A1BGAS"	"Previous_symbol"	"A1BG-AS1"	"   503538"	"ENSG00000268895"
"A1BG-AS"	"Previous_symbol"	"A1BG-AS1"	"   503538"	"ENSG00000268895"
"CPAMD9"	"Previous_symbol"	"A2ML1"	"   144568"	"ENSG00000166535"
"A2MP"	"Previous_symbol"	"A2MP1"	"        3"	"ENSG00000256069"
"A3GALT2P"	"Previous_symbol"	"A3GALT2"	"   127550"	"ENSG00000184389"
"P1"	"Previous_symbol"	"A4GALT"	"    53947"	"ENSG00000128274"
"AACSL"	"Previous_symbol"	"AACSP1"	"   729522"	"ENSG00000250420"
"C11orf67"	"Previous_symbol"	"AAMDC"	"    28971"	"ENSG00000087884"
"C20orf4"	"Previous_symbol"	"AAR2"	"    25980"	"ENSG00000131043"
"C8orf85"	"Previous_symbol"	"AARD"	"   441376"	"ENSG00000205002"
"AARS"	"Previous_symbol"	"AARS1"	"       16"	"ENSG00000090861"
"AARSP1"	"Previous_symbol"	"AARS1P1"	"106480683"	"ENSG00000249038"
"AARSL"	"Previous_symbol"	"AARS2"	"    57505"	"ENSG00000124608"
"ABC1"	"Previous_symbol"	"ABCA1"	"       19"	"ENSG00000165029"
"HDLDT1"	"Previous_symbol"	"ABCA1"	"       19"	"ENSG00000165029"
"ABC2"	"Previous_symbol"	"ABCA2"	"       20"	"ENSG00000107331"
"ABC3"	"Previous_symbol"	"ABCA3"	"       21"	"ENSG00000167972"
"STGD1"	"Previous_symbol"	"ABCA4"	"       24"	"ENSG00000198691"
"ABCR"	"Previous_symbol"	"ABCA4"	"       24"	"ENSG00000198691"
"RP19"	"Previous_symbol"	"ABCA4"	"       24"	"ENSG00000198691"
"STGD"	"Previous_symbol"	"ABCA4"	"       24"	"ENSG00000198691"
"ABCA11"	"Previous_symbol"	"ABCA11P"	"    79963"	"ENSG00000251595"
"ICR2B"	"Previous_symbol"	"ABCA12"	"    26154"	"ENSG00000144452"
"PGY1"	"Previous_symbol"	"ABCB1"	"     5243"	"ENSG00000085563"
"MDR1"	"Previous_symbol"	"ABCB1"	"     5243"	"ENSG00000085563"
"CLCS"	"Previous_symbol"	"ABCB1"	"     5243"	"ENSG00000085563"
"PGY3"	"Previous_symbol"	"ABCB4"	"     5244"	"ENSG00000005471"
"MDR3"	"Previous_symbol"	"ABCB4"	"     5244"	"ENSG00000005471"
"ABC7"	"Previous_symbol"	"ABCB7"	"       22"	"ENSG00000131269"
"ABCB10P"	"Previous_symbol"	"ABCB10P1"	"    56476"	"ENSG00000274099"
"ABCB10P2"	"Previous_symbol"	"ABCB10P1"	"    56476"	"ENSG00000274099"
"BSEP"	"Previous_symbol"	"ABCB11"	"     8647"	"ENSG00000073734"
"PFIC2"	"Previous_symbol"	"ABCB11"	"     8647"	"ENSG00000073734"
"MRP"	"Previous_symbol"	"ABCC1"	"     4363"	"ENSG00000103222"
"MRP1"	"Previous_symbol"	"ABCC1"	"     4363"	"ENSG00000103222"
"CMOAT"	"Previous_symbol"	"ABCC2"	"     1244"	"ENSG00000023839"
"ARA"	"Previous_symbol"	"ABCC6"	"      368"	"ENSG00000091262"
"PXE"	"Previous_symbol"	"ABCC6"	"      368"	"ENSG00000091262"
"SUR"	"Previous_symbol"	"ABCC8"	"     6833"	"ENSG00000006071"
"HRINS"	"Previous_symbol"	"ABCC8"	"     6833"	"ENSG00000006071"
"ALD"	"Previous_symbol"	"ABCD1"	"      215"	"ENSG00000101986"
"ALDL1"	"Previous_symbol"	"ABCD2"	"      225"	"ENSG00000173208"
"PXMP1"	"Previous_symbol"	"ABCD3"	"     5825"	"ENSG00000117528"
"PXMP1L"	"Previous_symbol"	"ABCD4"	"     5826"	"ENSG00000119688"
"RNASEL1"	"Previous_symbol"	"ABCE1"	"     6059"	"ENSG00000164163"
"RNASELI"	"Previous_symbol"	"ABCE1"	"     6059"	"ENSG00000164163"
"RNS4I"	"Previous_symbol"	"ABCE1"	"     6059"	"ENSG00000164163"
"ABC50"	"Previous_symbol"	"ABCF1"	"       23"	"ENSG00000204574"
"WBSCR21"	"Previous_symbol"	"ABHD11"	"    83451"	"ENSG00000106077"
"WBSCR26"	"Previous_symbol"	"ABHD11-AS1"	"   171022"	"ENSG00000225969"
"LINC00035"	"Previous_symbol"	"ABHD11-AS1"	"   171022"	"ENSG00000225969"
"C20orf22"	"Previous_symbol"	"ABHD12"	"    26090"	"ENSG00000100997"
"C14orf29"	"Previous_symbol"	"ABHD12B"	"   145447"	"ENSG00000131969"
"C13orf6"	"Previous_symbol"	"ABHD13"	"    84945"	"ENSG00000139826"
"BAT5"	"Previous_symbol"	"ABHD16A"	"     7920"	"ENSG00000204427"
"C20orf135"	"Previous_symbol"	"ABHD16B"	"   140701"	"ENSG00000183260"
"C19orf27"	"Previous_symbol"	"ABHD17A"	"    81926"	"ENSG00000129968"
