"Annotation_data_set"	"Official_HGNC_symbol_translation_matrix"	"NCBI.Gene.ID"	"Ensembl.gene.ID"
"AP006222.2"	NA	NA	NA
"MTND1P23"	"MTND1P23"	"100887749"	"ENSG00000225972"
"MTND2P28"	"MTND2P28"	"100652939"	"ENSG00000225630"
"MIR6723"	NA	NA	NA
"RP5-857K21.7"	NA	NA	NA
"MTATP6P1"	"MTATP6P1"	"106480796"	"ENSG00000248527"
"RP5-857K21.11"	NA	NA	NA
"RP11-206L10.2"	NA	NA	NA
"RP11-206L10.9"	NA	NA	NA
"RP11-206L10.8"	NA	NA	NA
"LINC00115"	"LINC00115"	"    79854"	"ENSG00000225880"
"LINC01128"	"LINC01128"	"   643837"	"ENSG00000228794"
"SAMD11"	"SAMD11"	"   148398"	"ENSG00000187634"
"NOC2L"	"NOC2L"	"    26155"	"ENSG00000188976"
"KLHL17"	"KLHL17"	"   339451"	"ENSG00000187961"
"PLEKHN1"	"PLEKHN1"	"    84069"	"ENSG00000187583"
"RP11-54O7.17"	NA	NA	NA
"HES4"	"HES4"	"    57801"	"ENSG00000188290"
"ISG15"	"ISG15"	"     9636"	"ENSG00000187608"
"AGRN"	"AGRN"	"   375790"	"ENSG00000188157"
"RP11-465B22.3"	NA	NA	NA
"RNF223"	"RNF223"	"   401934"	"ENSG00000237330"
"C1orf159"	"C1orf159"	"    54991"	"ENSG00000131591"
"RP11-465B22.8"	NA	NA	NA
"TTLL10"	"TTLL10"	"   254173"	"ENSG00000162571"
"TNFRSF18"	"TNFRSF18"	"     8784"	"ENSG00000186891"
"TNFRSF4"	"TNFRSF4"	"     7293"	"ENSG00000186827"
"SDF4"	"SDF4"	"    51150"	"ENSG00000078808"
"B3GALT6"	"B3GALT6"	"   126792"	"ENSG00000176022"
"FAM132A"	"C1QTNF12"	"   388581"	"ENSG00000184163"
"UBE2J2"	"UBE2J2"	"   118424"	"ENSG00000160087"
"SCNN1D"	"SCNN1D"	"     6339"	"ENSG00000162572"
"ACAP3"	"ACAP3"	"   116983"	"ENSG00000131584"
"PUSL1"	"PUSL1"	"   126789"	"ENSG00000169972"
"CPSF3L"	"INTS11"	"    54973"	"ENSG00000127054"
"GLTPD1"	"CPTP"	"    80772"	"ENSG00000224051"
"DVL1"	"DVL1"	"     1855"	"ENSG00000107404"
"AURKAIP1"	"AURKAIP1"	"    54998"	"ENSG00000175756"
"CCNL2"	"CCNL2"	"    81669"	"ENSG00000221978"
"RP4-758J18.2"	NA	NA	NA
"MRPL20"	"MRPL20"	"    55052"	"ENSG00000242485"
"RP4-758J18.13"	NA	NA	NA
"VWA1"	"VWA1"	"    64856"	"ENSG00000179403"
"ATAD3C"	"ATAD3C"	"   219293"	"ENSG00000215915"
"ATAD3B"	"ATAD3B"	"    83858"	"ENSG00000160072"
"ATAD3A"	"ATAD3A"	"    55210"	"ENSG00000197785"
