"drugID"	"drug_name"	"status"	"Swiss_target_ID"	"target_name"	"gene_symbol"	"target_organism"	"drug_action"
"DB00001"	"Lepirudin"	"approved"	"P00734"	"Prothrombin"	"F2"	"inhibitor"	"Humans"
"DB00002"	"Cetuximab"	"approved"	"P00533"	"Epidermal growth factor receptor"	"EGFR"	"antagonist"	"Humans"
"DB00002"	"Cetuximab"	"approved"	"O75015"	"Low affinity immunoglobulin gamma Fc region receptor III-B"	"FCGR3B"	NA	"Humans"
"DB00002"	"Cetuximab"	"approved"	"P00736"	"Complement C1r subcomponent"	"C1R"	NA	"Humans"
"DB00002"	"Cetuximab"	"approved"	"P02745"	"Complement C1q subcomponent subunit A"	"C1QA"	NA	"Humans"
"DB00002"	"Cetuximab"	"approved"	"P02746"	"Complement C1q subcomponent subunit B"	"C1QB"	NA	"Humans"
"DB00002"	"Cetuximab"	"approved"	"P02747"	"Complement C1q subcomponent subunit C"	"C1QC"	NA	"Humans"
"DB00002"	"Cetuximab"	"approved"	"P08637"	"Low affinity immunoglobulin gamma Fc region receptor III-A"	"FCGR3A"	NA	"Humans"
"DB00002"	"Cetuximab"	"approved"	"P09871"	"Complement C1s subcomponent"	"C1S"	NA	"Humans"
"DB00002"	"Cetuximab"	"approved"	"P12314"	"High affinity immunoglobulin gamma Fc receptor I"	"FCGR1A"	NA	"Humans"
"DB00002"	"Cetuximab"	"approved"	"P12318"	"Low affinity immunoglobulin gamma Fc region receptor II-a"	"FCGR2A"	NA	"Humans"
"DB00002"	"Cetuximab"	"approved"	"P31994"	"Low affinity immunoglobulin gamma Fc region receptor II-b"	"FCGR2B"	NA	"Humans"
"DB00002"	"Cetuximab"	"approved"	"P31995"	"Low affinity immunoglobulin gamma Fc region receptor II-c"	"FCGR2C"	NA	"Humans"
"DB00003"	"Dornase alfa"	"approved"	NA	NA	NA	NA	"Humans"
"DB00004"	"Denileukin diftitox"	"approved, investigational"	"P01589"	"Interleukin-2 receptor subunit alpha"	"IL2RA"	"binder"	"Humans"
"DB00004"	"Denileukin diftitox"	"approved, investigational"	"P14784"	"Interleukin-2 receptor subunit beta"	"IL2RB"	"agonist"	"Humans"
"DB00004"	"Denileukin diftitox"	"approved, investigational"	"P31785"	"Cytokine receptor common subunit gamma"	"IL2RG"	NA	"Humans"
"DB00005"	"Etanercept"	"approved, investigational"	"P01375"	"Tumor necrosis factor"	"TNF"	"antibody"	"Humans"
"DB00005"	"Etanercept"	"approved, investigational"	"P20333"	"Tumor necrosis factor receptor superfamily member 1B"	"TNFRSF1B"	NA	"Humans"
"DB00005"	"Etanercept"	"approved, investigational"	"P12314"	"High affinity immunoglobulin gamma Fc receptor I"	"FCGR1A"	NA	"Humans"
"DB00005"	"Etanercept"	"approved, investigational"	"P08637"	"Low affinity immunoglobulin gamma Fc region receptor III-A"	"FCGR3A"	NA	"Humans"
"DB00005"	"Etanercept"	"approved, investigational"	"P12318"	"Low affinity immunoglobulin gamma Fc region receptor II-a"	"FCGR2A"	NA	"Humans"
"DB00005"	"Etanercept"	"approved, investigational"	"P31994"	"Low affinity immunoglobulin gamma Fc region receptor II-b"	"FCGR2B"	NA	"Humans"
"DB00005"	"Etanercept"	"approved, investigational"	"P31995"	"Low affinity immunoglobulin gamma Fc region receptor II-c"	"FCGR2C"	NA	"Humans"
"DB00005"	"Etanercept"	"approved, investigational"	"P01374"	"Lymphotoxin-alpha"	"LTA"	NA	"Humans"
"DB00005"	"Etanercept"	"approved, investigational"	"O75015"	"Low affinity immunoglobulin gamma Fc region receptor III-B"	"FCGR3B"	NA	"Humans"
"DB00005"	"Etanercept"	"approved, investigational"	"P09871"	"Complement C1s subcomponent"	"C1S"	NA	"Humans"
"DB00005"	"Etanercept"	"approved, investigational"	"P00736"	"Complement C1r subcomponent"	"C1R"	NA	"Humans"
"DB00005"	"Etanercept"	"approved, investigational"	"P02745"	"Complement C1q subcomponent subunit A"	"C1QA"	NA	"Humans"
"DB00005"	"Etanercept"	"approved, investigational"	"P02746"	"Complement C1q subcomponent subunit B"	"C1QB"	NA	"Humans"
"DB00005"	"Etanercept"	"approved, investigational"	"P02747"	"Complement C1q subcomponent subunit C"	"C1QC"	NA	"Humans"
"DB00006"	"Bivalirudin"	"approved, investigational"	"P00734"	"Prothrombin"	"F2"	"inhibitor"	"Humans"
"DB00007"	"Leuprolide"	"approved, investigational"	"P30968"	"Gonadotropin-releasing hormone receptor"	"GNRHR"	"agonist"	"Humans"
"DB00008"	"Peginterferon alfa-2a"	"approved, investigational"	"P48551"	"Interferon alpha/beta receptor 2"	"IFNAR2"	"agonist"	"Humans"
"DB00008"	"Peginterferon alfa-2a"	"approved, investigational"	"P17181"	"Interferon alpha/beta receptor 1"	"IFNAR1"	"agonist"	"Humans"
"DB00009"	"Alteplase"	"approved"	"P00747"	"Plasminogen"	"PLG"	"activator"	"Humans"
"DB00009"	"Alteplase"	"approved"	"P02671"	"Fibrinogen alpha chain"	"FGA"	NA	"Humans"
"DB00009"	"Alteplase"	"approved"	"Q03405"	"Urokinase plasminogen activator surface receptor"	"PLAUR"	NA	"Humans"
"DB00009"	"Alteplase"	"approved"	"P05121"	"Plasminogen activator inhibitor 1"	"SERPINE1"	NA	"Humans"
"DB00010"	"Sermorelin"	"approved, withdrawn"	"Q02643"	"Growth hormone-releasing hormone receptor"	"GHRHR"	"agonist"	"Humans"
