Marker	Cell type	Position
Il7r	Progenitor cells	15
Cd38	Progenitor cells	16
Cd93	Progenitor cells	5
Itga6	Progenitor cells	12
Myb	Progenitor cells	
Bmi1	Progenitor cells	
Flt3	Progenitor cells	6
Gata2	Progenitor cells	13
Cd244	Progenitor cells	
Thy1	Progenitor cells	
Stat5a	Progenitor cells	14
Il3ra	Progenitor cells	9
Eng	Progenitor cells	7
Kdr	Progenitor cells	
Podxl	Progenitor cells	11
Cd34	Progenitor cells	10
Cd48	Progenitor cells	8
Igkv1-117	General B cell marker	17
Igkv1-135	General B cell marker	21
Igkv12-44	General B cell marker	
Igkv14-126	General B cell marker	
Igkv15-103	General B cell marker	18
Igkv2-137	General B cell marker	
Igkv3-12	General B cell marker	
Igkv4-80	General B cell marker	
Igkv6-13	General B cell marker	
Igkv6-15	General B cell marker	
Igkv6-17	General B cell marker	
Igkv6-23	General B cell marker	
Igkv6-32	General B cell marker	19
Igkv8-19	General B cell marker	
Igkv8-21	General B cell marker	
Igkv8-24	General B cell marker	20
Igkv8-27	General B cell marker	
Igkv8-30	General B cell marker	
Igkv8-34	General B cell marker	
Iglc1	General B cell marker	22
Iglc2	General B cell marker	
Iglc3	General B cell marker	
Blnk	General B cell marker	
Cd19	General B cell marker	
Cd79a	General B cell marker	
Lax1	General B cell marker	
Cd22	General B cell marker	
Tnfrsf17	Mature B cells	24
Cd19	Plasma Cells	
Scd1	Plasma Cells	
Cd28	Plasma Cells	
Ms4a1	Plasma Cells	
Jchain	Plasma Cells	23
Mzb1	Plasma Cells	
Btaf1	Mitosis markers	
Cdk8	Mitosis markers	
Ctdp1	Mitosis markers	
Erf	Mitosis markers	25
Polr1b	Mitosis markers	
Rpap1	Mitosis markers	
Tlk1	Mitosis markers	
Mta2	Mitosis markers	
Il7r	Progenitor B cells	
Kit	Progenitor B cells	26
Ms4a1	Progenitor B cells	
Cr2	Pre-B cells	
Fcer2a	Pre-B cells	
Tcrg-C1	T cells receptor coding genes - criteria to be considered T cell	27
Tcrg-C2	T cells receptor coding genes - criteria to be considered T cell	28
Tcrg-C4	T cells receptor coding genes - criteria to be considered T cell	
Trav15-1-dv6-1	T cells receptor coding genes - criteria to be considered T cell	29
Cd3e	Traditional markers - had to express at least one	
Cd3g	Traditional markers - had to express at least one	
Cd4	Traditional markers - had to express at least one	30
Cd8b1	Traditional markers - had to express at least one	31
Il4	T follicular helper cells	36
Pik3c2a	T follicular helper cells	
Cd84	T follicular helper cells	
Bcl6	T follicular helper cells	
Fas	T follicular helper cells	
Pik3c2b	T follicular helper cells	
Icosl	T follicular helper cells	
Stat3	T follicular helper cells	
Il10rb	T follicular helper cells	
Vav1	T follicular helper cells	
Il6	T follicular helper cells	
Il17ra	T follicular helper cells	
Pik3ap1	T follicular helper cells	
Cr1l	T follicular helper cells	
Tnfrsf4	T follicular helper cells	
Cd80	T follicular helper cells	
Il13	T follicular helper cells	37
Il4ra	T follicular helper cells	
Pten	T follicular helper cells	
Nfatc1	T follicular helper cells	
Il21r	T follicular helper cells	
Batf	T follicular helper cells	
Pik3cd	T follicular helper cells	
Cd200r1	T follicular helper cells	
Tnf	Th1 markers	
Stat4	Th1 markers	
Tbx21	Th1 markers	38
Il2	Th1 markers	39
Ifng	Th1 markers	40
Ccr1	Th1 markers	
Il18rap	Th1 markers	
Ebi3	Th1 markers	
Nfil3	Th1 markers	
Il27	Th1 markers	
Il12b	Th1 markers	
Cxcr3	Th1 markers	
Ifngr2	Th1 markers	
Il23a	Th1 markers	
Stat1	Th1 markers	
Il18r1	Th1 markers	
Il12rb1	Th1 markers	
Il4	Th2 markers	
Il13	Th2 markers	
Il4ra	Th2 markers	
Stat6	Th2 markers	
Il2rg	Th2 markers	
Gata3	Th2 markers	41
Ccr3	Th2 markers	
Il1rap	Th2 markers	
Stat5b	Th2 markers	
Nfil3	Th2 markers	
Cxcr4	Th2 markers	
Il2	Th2 markers	
Ifngr2	Th2 markers	
Chia1	Th2 markers	
Il1r1	Th17 markers	32
Rorc	Th17 markers	33
Il17f	Th17 markers	34
Il13ra2	Th17 markers	35
Il12rb1	Th17 markers	
Il23r	Th17 markers	
Tifa	Th17 markers	42
Stat3	Th17 markers	
Entpd1	Treg markers	
Nt5e	Treg markers	
Stat5b	Treg markers	
Foxp3	Treg markers	
Tnfrsf18	Treg markers	
Tgfb1	Treg markers	
Stat5a	Treg markers	
Il2ra	Treg markers	43
Il7r	Treg markers	
Hba-a2	Erythrocyte	2
Hbb-bt	Erythrocyte	
Hbb-bh3	Erythrocyte	
Hbb-y	Erythrocyte	4
Hba-ps4	Erythrocyte	
Hba-a1	Erythrocyte	1
Hbb-bh1	Erythrocyte	3
Hbb-bs	Erythrocyte	
Hbb-bh2	Erythrocyte	
Hba-x	Erythrocyte	
Cd36	Erythrocyte	
Gypa	Erythrocyte	
Bsg	Erythrocyte	
Hbb-bh0	Erythrocyte	
Tspan33	Erythrocyte	
Epor	Erythroid differentiation markers	
Hipk2	Erythroid differentiation markers	
Ppox	Erythroid differentiation markers	
Lrg1	Granulocyte - general markers	44
Ltb4r1	Granulocyte - general markers	45
Ceacam1	Granulocyte - general markers	46
Itgb2	Granulocyte - general markers	47
Cd53	Granulocyte - general markers	48
Gpr84	Granulocyte - general markers	55
Clec4a2	Granulocyte - general markers	56
Fcgr4	Granulocyte - general markers	
Cd164	Granulocyte - general markers	
Clec4a4	Granulocyte - general markers	
Hck	Granulocyte - general markers	
Csf3r	Granulocyte - general markers	
Fcgr3	Granulocyte - general markers	
Cd44	Granulocyte - general markers	49
Ptprc	Granulocyte - general markers	
Lamp2	Granulocyte - general markers	50
Bad	Granulocyte - general markers	51
Cxcr2	Granulocyte - Maturation markers	
Cxcr4	Granulocyte - Maturation markers	
Ly6g	Granulocyte - Maturation markers	52
Fpr2	Neutrophils	
Lrg1	Neutrophils	
Ltb4r1	Neutrophils	
Treml2	Neutrophils	
Cd200r1	Neutrophils	
Fpr1	Neutrophils	
Ncf2	Neutrophils	
Trem1	Neutrophils	
Ltb	Neutrophils	
Camp	Neutrophils	54
Itgb2	Basophils	
Ccr3	Basophils	
Itgal	Basophils	
Ptprc	Basophils	
Cd200r1	Basophils	
Ltb4r1	Basophils	
Itgb2	Eosinophils	
Ccr3	Eosinophils	
Ptprc	Eosinophils	
Cd200r1	Eosinophils	
Ltb4r1	Eosinophils	
Plscr1	Mast cell	
Mcemp1	Mast cell	
Hrh2	Mast cell	
Milr1	Mast cell	
Cd33	Monocytes	
Itgb2	Monocytes	
Ccr1	Monocytes	
Trem1	Monocytes	
Atrn	Monocytes	
Itgb3	Monocytes	
Csf3r	Monocytes	
Ptprc	Monocytes	
Cd53	Monocytes	
Fcgr3	Monocytes	
Cd200r1	Monocytes	
Hck	Monocytes	
Ly6g	Monocytes	
Cd84	Monocytes	
Cd14	Monocytes	53
Trem3	Monocytes	57
Ltb4r1	Monocytes	
Cd33	Macrophage	
Lamp2	Macrophage	
Tlr4	Macrophage	
Lgals3	Macrophage	58
Lif	Osteoclast & Osteoblast markers	
Gja1	Osteoclast & Osteoblast markers	59
Tnfrsf11a	Osteoclast & Osteoblast markers	
Tnfrsf11a	Osteoclast & Osteoblast markers	
Ibsp	Osteoclast & Osteoblast markers	60
Bglap	Osteoclast & Osteoblast markers	61
Sparc	Osteoclast & Osteoblast markers	62
Itgav	Osteoclast & Osteoblast markers	
