"Drug1"	"Drug2"
"DB00001"	"DB00001"
"DB00001"	"DB00006"
"DB00001"	"DB00278"
"DB00001"	"DB01123"
"DB00001"	"DB04898"
"DB00001"	"DB06695"
"DB00002"	"DB00002"
"DB00004"	"DB00004"
"DB00004"	"DB00041"
"DB00005"	"DB00005"
"DB00006"	"DB00001"
"DB00006"	"DB00006"
"DB00006"	"DB00278"
"DB00006"	"DB01123"
"DB00006"	"DB04898"
"DB00006"	"DB06695"
"DB00007"	"DB00007"
"DB00007"	"DB00106"
"DB00007"	"DB06699"
"DB00007"	"DB06785"
"DB00007"	"DB06788"
"DB00007"	"DB06825"
"DB00007"	"DB11979"
"DB00008"	"DB00008"
"DB00008"	"DB00011"
"DB00008"	"DB00018"
"DB00008"	"DB00022"
"DB00008"	"DB00034"
"DB00008"	"DB00060"
"DB00008"	"DB00068"
"DB00008"	"DB00069"
"DB00008"	"DB00105"
"DB00009"	"DB00009"
"DB00009"	"DB00015"
"DB00009"	"DB00029"
"DB00010"	"DB00010"
"DB00010"	"DB08869"
"DB00011"	"DB00008"
"DB00011"	"DB00011"
"DB00011"	"DB00018"
"DB00011"	"DB00022"
"DB00011"	"DB00034"
"DB00011"	"DB00060"
"DB00011"	"DB00068"
"DB00011"	"DB00069"
"DB00011"	"DB00105"
"DB00012"	"DB00012"
"DB00012"	"DB00016"
"DB00012"	"DB08894"
"DB00012"	"DB09107"
"DB00013"	"DB00013"
"DB00014"	"DB00014"
"DB00014"	"DB00050"
"DB00014"	"DB06719"
"DB00015"	"DB00009"
"DB00015"	"DB00015"
"DB00015"	"DB00029"
"DB00016"	"DB00012"
"DB00016"	"DB00016"
"DB00016"	"DB08894"
"DB00016"	"DB09107"
"DB00017"	"DB00017"
"DB00018"	"DB00008"
"DB00018"	"DB00011"
"DB00018"	"DB00018"
"DB00018"	"DB00022"
"DB00018"	"DB00034"
"DB00018"	"DB00060"
"DB00018"	"DB00068"
"DB00018"	"DB00069"
"DB00018"	"DB00105"
"DB00019"	"DB00019"
"DB00019"	"DB00099"
"DB00020"	"DB00020"
"DB00022"	"DB00008"
"DB00022"	"DB00011"
"DB00022"	"DB00018"
"DB00022"	"DB00022"
"DB00022"	"DB00034"
"DB00022"	"DB00060"
"DB00022"	"DB00068"
"DB00022"	"DB00069"
"DB00022"	"DB00105"
"DB00024"	"DB00024"
"DB00025"	"DB00025"
"DB00025"	"DB13998"
"DB00025"	"DB13999"
"DB00026"	"DB00026"
"DB00028"	"DB00028"
"DB00029"	"DB00009"
"DB00029"	"DB00015"
"DB00029"	"DB00029"
"DB00030"	"DB00030"
"DB00031"	"DB00031"
"DB00032"	"DB00032"
"DB00032"	"DB00097"
"DB00033"	"DB00033"
"DB00034"	"DB00008"
"DB00034"	"DB00011"
"DB00034"	"DB00018"
"DB00034"	"DB00022"
"DB00034"	"DB00034"
"DB00034"	"DB00060"
"DB00034"	"DB00068"
"DB00034"	"DB00069"
"DB00034"	"DB00105"
"DB00035"	"DB00035"
"DB00035"	"DB00067"
"DB00035"	"DB02638"
"DB00035"	"DB14642"
"DB00036"	"DB00036"
"DB00038"	"DB00038"
"DB00039"	"DB00039"
"DB00040"	"DB00040"
"DB00041"	"DB00004"
"DB00041"	"DB00041"
"DB00042"	"DB00042"
"DB00043"	"DB00043"
"DB00044"	"DB00044"
"DB00044"	"DB09126"
"DB00045"	"DB00045"
"DB00045"	"DB11601"
"DB00046"	"DB00046"
"DB00046"	"DB00047"
"DB00046"	"DB01306"
"DB00046"	"DB01307"
"DB00046"	"DB01309"
"DB00046"	"DB09564"
"DB00047"	"DB00046"
"DB00047"	"DB00047"
"DB00047"	"DB01306"
"DB00047"	"DB01307"
"DB00047"	"DB01309"
"DB00047"	"DB09564"
"DB00048"	"DB00048"
"DB00050"	"DB00014"
"DB00050"	"DB00050"
"DB00050"	"DB06719"
"DB00051"	"DB00051"
"DB00051"	"DB00065"
"DB00051"	"DB06674"
"DB00051"	"DB08904"
"DB00052"	"DB00052"
"DB00054"	"DB00054"
"DB00055"	"DB00055"
"DB00056"	"DB00056"
"DB00058"	"DB00058"
"DB00060"	"DB00008"
"DB00060"	"DB00011"
"DB00060"	"DB00018"
"DB00060"	"DB00022"
"DB00060"	"DB00034"
"DB00060"	"DB00060"
"DB00060"	"DB00068"
"DB00060"	"DB00069"
"DB00060"	"DB00105"
"DB00061"	"DB00061"
"DB00063"	"DB00063"
"DB00065"	"DB00051"
"DB00065"	"DB00065"
"DB00065"	"DB06674"
"DB00065"	"DB08904"
"DB00066"	"DB00066"
"DB00066"	"DB00094"
"DB00066"	"DB09066"
"DB00067"	"DB00035"
"DB00067"	"DB00067"
"DB00067"	"DB02638"
"DB00067"	"DB14642"
"DB00068"	"DB00008"
"DB00068"	"DB00011"
"DB00068"	"DB00018"
"DB00068"	"DB00022"
"DB00068"	"DB00034"
"DB00068"	"DB00060"
"DB00068"	"DB00068"
"DB00068"	"DB00069"
"DB00068"	"DB00105"
"DB00069"	"DB00008"
"DB00069"	"DB00011"
"DB00069"	"DB00018"
"DB00069"	"DB00022"
"DB00069"	"DB00034"
"DB00069"	"DB00060"
"DB00069"	"DB00068"
"DB00069"	"DB00069"
"DB00069"	"DB00105"
"DB00070"	"DB00070"
"DB00070"	"DB06205"
"DB00071"	"DB00071"
"DB00072"	"DB00072"
"DB00073"	"DB00073"
"DB00073"	"DB06650"
"DB00073"	"DB08935"
"DB00073"	"DB11988"
"DB00074"	"DB00074"
"DB00075"	"DB00075"
"DB00078"	"DB00078"
"DB00081"	"DB00081"
"DB00082"	"DB00082"
"DB00083"	"DB00083"
"DB00086"	"DB00086"
"DB00087"	"DB00087"
"DB00089"	"DB00089"
"DB00091"	"DB00091"
"DB00092"	"DB00092"
"DB00094"	"DB00066"
"DB00094"	"DB00094"
"DB00094"	"DB09066"
"DB00095"	"DB00095"
"DB00097"	"DB00032"
"DB00097"	"DB00097"
"DB00098"	"DB00098"
"DB00099"	"DB00019"
"DB00099"	"DB00099"
"DB00100"	"DB00100"
"DB00100"	"DB13152"
"DB00102"	"DB00102"
"DB00104"	"DB00104"
"DB00104"	"DB06663"
"DB00104"	"DB06791"
"DB00104"	"DB13925"
"DB00105"	"DB00008"
"DB00105"	"DB00011"
"DB00105"	"DB00018"
"DB00105"	"DB00022"
"DB00105"	"DB00034"
"DB00105"	"DB00060"
"DB00105"	"DB00068"
"DB00105"	"DB00069"
"DB00105"	"DB00105"
"DB00106"	"DB00007"
"DB00106"	"DB00106"
"DB00106"	"DB06699"
"DB00106"	"DB06785"
"DB00106"	"DB06788"
"DB00106"	"DB06825"
"DB00106"	"DB11979"
"DB00107"	"DB00107"
"DB00108"	"DB00108"
"DB00110"	"DB00110"
"DB00112"	"DB00112"
"DB00114"	"DB00114"
"DB00115"	"DB00115"
"DB00117"	"DB00117"
"DB00118"	"DB00118"
"DB00119"	"DB00119"
"DB00120"	"DB00120"
"DB00121"	"DB00121"
"DB00122"	"DB00122"
"DB00122"	"DB14006"
"DB00123"	"DB00123"
"DB00125"	"DB00125"
"DB00126"	"DB00126"
"DB00128"	"DB00128"
"DB00129"	"DB00129"
"DB00130"	"DB00130"
"DB00131"	"DB00131"
"DB00132"	"DB00132"
"DB00133"	"DB00133"
"DB00134"	"DB00134"
"DB00135"	"DB00135"
"DB00136"	"DB00136"
"DB00138"	"DB00138"
"DB00139"	"DB00139"
"DB00140"	"DB00140"
"DB00141"	"DB00141"
"DB00142"	"DB00142"
"DB00143"	"DB00143"
"DB00144"	"DB00144"
"DB00145"	"DB00145"
"DB00146"	"DB00146"
"DB00146"	"DB00169"
"DB00146"	"DB00910"
"DB00146"	"DB01070"
"DB00146"	"DB02300"
"DB00146"	"DB06410"
"DB00148"	"DB00148"
"DB00149"	"DB00149"
"DB00150"	"DB00150"
"DB00151"	"DB00151"
"DB00152"	"DB00152"
"DB00153"	"DB00153"
"DB00155"	"DB00155"
"DB00156"	"DB00156"
"DB00157"	"DB00157"
"DB00158"	"DB00158"
"DB00159"	"DB00159"
"DB00160"	"DB00160"
"DB00161"	"DB00161"
"DB00162"	"DB00162"
"DB00163"	"DB00163"
"DB00163"	"DB14001"
"DB00163"	"DB14002"
"DB00165"	"DB00165"
"DB00166"	"DB00166"
"DB00167"	"DB00167"
"DB00169"	"DB00146"
"DB00169"	"DB00169"
"DB00169"	"DB00910"
"DB00169"	"DB01070"
"DB00169"	"DB02300"
"DB00169"	"DB06410"
"DB00170"	"DB00170"
"DB00172"	"DB00172"
"DB00173"	"DB00173"
"DB00174"	"DB00174"
"DB00175"	"DB00175"
"DB00175"	"DB00439"
"DB00175"	"DB01095"
"DB00175"	"DB01098"
"DB00175"	"DB08860"
"DB00176"	"DB00176"
"DB00177"	"DB00177"
"DB00177"	"DB00275"
"DB00177"	"DB00678"
"DB00177"	"DB00796"
"DB00177"	"DB00876"
"DB00177"	"DB08822"
"DB00177"	"DB11842"
"DB00178"	"DB00178"
"DB00178"	"DB09477"
"DB00179"	"DB00179"
"DB00180"	"DB00180"
"DB00180"	"DB00223"
"DB00180"	"DB00240"
"DB00180"	"DB00253"
"DB00180"	"DB00324"
"DB00180"	"DB00394"
"DB00180"	"DB00443"
"DB00180"	"DB00547"
"DB00180"	"DB00596"
"DB00180"	"DB00620"
"DB00180"	"DB00663"
"DB00180"	"DB00769"
"DB00180"	"DB00838"
"DB00180"	"DB00846"
"DB00180"	"DB00860"
"DB00180"	"DB14596"
"DB00180"	"DB00896"
"DB00180"	"DB00959"
"DB00180"	"DB01013"
"DB00180"	"DB01130"
"DB00180"	"DB01222"
"DB00180"	"DB01260"
"DB00180"	"DB01380"
"DB00180"	"DB01410"
"DB00180"	"DB06781"
"DB00180"	"DB11921"
"DB00180"	"DB13158"
"DB00181"	"DB00181"
"DB00182"	"DB00182"
"DB00183"	"DB00183"
"DB00184"	"DB00184"
"DB00185"	"DB00185"
"DB00185"	"DB04843"
"DB00186"	"DB00186"
"DB00186"	"DB00628"
"DB00186"	"DB00962"
"DB00187"	"DB00187"
"DB00187"	"DB01297"
"DB00187"	"DB09351"
"DB00188"	"DB00188"
"DB00189"	"DB00189"
"DB00189"	"DB00349"
"DB00189"	"DB00474"
"DB00189"	"DB00475"
"DB00189"	"DB01107"
"DB00189"	"DB01437"
"DB00189"	"DB11859"
"DB00190"	"DB00190"
"DB00190"	"DB12783"
"DB00191"	"DB00191"
"DB00192"	"DB00192"
"DB00192"	"DB00680"
"DB00192"	"DB00750"
"DB00192"	"DB00776"
"DB00192"	"DB00868"
"DB00192"	"DB01056"
"DB00192"	"DB01228"
"DB00192"	"DB01320"
"DB00192"	"DB01426"
"DB00193"	"DB00193"
"DB00195"	"DB00195"
"DB00195"	"DB00221"
"DB00195"	"DB00264"
"DB00195"	"DB00335"
"DB00195"	"DB00373"
"DB00195"	"DB00521"
"DB00195"	"DB00612"
"DB00195"	"DB01193"
"DB00195"	"DB01203"
"DB00195"	"DB01210"
"DB00195"	"DB01214"
"DB00195"	"DB01291"
"DB00195"	"DB04861"
"DB00198"	"DB00198"
"DB00199"	"DB00199"
"DB00200"	"DB00200"
"DB00201"	"DB00201"
"DB00202"	"DB00202"
"DB00203"	"DB00203"
"DB00203"	"DB00862"
"DB00204"	"DB00204"
"DB00205"	"DB00205"
"DB00206"	"DB00206"
"DB00207"	"DB00207"
"DB00207"	"DB01082"
"DB00209"	"DB00209"
"DB00209"	"DB00219"
"DB00209"	"DB00670"
"DB00209"	"DB00771"
"DB00209"	"DB00782"
"DB00209"	"DB00942"
"DB00209"	"DB00979"
"DB00209"	"DB11855"
"DB00210"	"DB00210"
"DB00211"	"DB00211"
"DB00211"	"DB00298"
"DB00211"	"DB00388"
"DB00211"	"DB00706"
"DB00211"	"DB00723"
"DB00211"	"DB06207"
"DB00213"	"DB00213"
"DB00213"	"DB00736"
"DB00214"	"DB00214"
"DB00215"	"DB00215"
"DB00216"	"DB00216"
"DB00217"	"DB00217"
"DB00218"	"DB00218"
"DB00218"	"DB00385"
"DB00218"	"DB00444"
"DB00218"	"DB00467"
"DB00218"	"DB00487"
"DB00218"	"DB00685"
"DB00218"	"DB00970"
"DB00218"	"DB00978"
"DB00218"	"DB01059"
"DB00218"	"DB01137"
"DB00218"	"DB01165"
"DB00218"	"DB01177"
"DB00218"	"DB01204"
"DB00218"	"DB01208"
"DB00218"	"DB09047"
"DB00219"	"DB00209"
"DB00219"	"DB00219"
"DB00219"	"DB00670"
"DB00219"	"DB00771"
"DB00219"	"DB00782"
"DB00219"	"DB00942"
"DB00219"	"DB00979"
"DB00219"	"DB11855"
"DB00221"	"DB00195"
"DB00221"	"DB00221"
"DB00221"	"DB00264"
"DB00221"	"DB00335"
"DB00221"	"DB00373"
"DB00221"	"DB00521"
"DB00221"	"DB00612"
"DB00221"	"DB01193"
"DB00221"	"DB01203"
"DB00221"	"DB01210"
"DB00221"	"DB01214"
"DB00221"	"DB01291"
"DB00221"	"DB04861"
"DB00222"	"DB00222"
"DB00223"	"DB00180"
"DB00223"	"DB00223"
"DB00223"	"DB00240"
"DB00223"	"DB00253"
"DB00223"	"DB00324"
"DB00223"	"DB00394"
"DB00223"	"DB00443"
"DB00223"	"DB00547"
"DB00223"	"DB00596"
"DB00223"	"DB00620"
"DB00223"	"DB00663"
"DB00223"	"DB00769"
"DB00223"	"DB00838"
"DB00223"	"DB00846"
"DB00223"	"DB00860"
"DB00223"	"DB14596"
"DB00223"	"DB00896"
"DB00223"	"DB00959"
"DB00223"	"DB01013"
"DB00223"	"DB01130"
"DB00223"	"DB01222"
"DB00223"	"DB01260"
"DB00223"	"DB01380"
"DB00223"	"DB01410"
"DB00223"	"DB06781"
"DB00223"	"DB11921"
"DB00223"	"DB13158"
"DB00226"	"DB00226"
"DB00226"	"DB00234"
"DB00226"	"DB01170"
"DB00226"	"DB04840"
"DB00226"	"DB09185"
"DB00227"	"DB00227"
"DB00228"	"DB00228"
"DB00230"	"DB00230"
"DB00231"	"DB00231"
"DB00231"	"DB00897"
"DB00232"	"DB00232"
"DB00233"	"DB00233"
"DB00234"	"DB00226"
"DB00234"	"DB00234"
"DB00234"	"DB01170"
"DB00234"	"DB04840"
"DB00234"	"DB09185"
"DB00235"	"DB00235"
"DB00235"	"DB00261"
"DB00235"	"DB01166"
"DB00235"	"DB04880"
"DB00237"	"DB00237"
"DB00239"	"DB00239"
"DB00239"	"DB00503"
"DB00239"	"DB00531"
"DB00239"	"DB01127"
"DB00239"	"DB01181"
"DB00239"	"DB01220"
"DB00239"	"DB08864"
"DB00239"	"DB11087"
"DB00239"	"DB13179"
"DB00240"	"DB00180"
"DB00240"	"DB00223"
"DB00240"	"DB00240"
"DB00240"	"DB00253"
"DB00240"	"DB00324"
"DB00240"	"DB00394"
"DB00240"	"DB00443"
"DB00240"	"DB00547"
"DB00240"	"DB00596"
"DB00240"	"DB00620"
"DB00240"	"DB00663"
"DB00240"	"DB00769"
"DB00240"	"DB00838"
"DB00240"	"DB00846"
"DB00240"	"DB00860"
"DB00240"	"DB14596"
"DB00240"	"DB00896"
