Drug_name	DrugBankID	known_disease_specific_drug	n_drug_targets	dc	zc	mean.random.dc.	SD.random.dc.	P	n_targets	n_targeted_degs	n_drug_targets_counteracting_disease	n_drug_targets_mimmicking_disease	Counteracting_%	Mimmicking_%	Outside_model_%	targeted_degs	pharmacological_effect	Cluster	Additional_information_targets
Abciximab	DB00054	FALSE	11	0.3636364	-4.9515324	1.0109091	0.13072170	3.681568e-07	14	7	7	0	63,63636364	0	63,63636364	C1QA (down), C1QB (down), C1QC (down), FCGR3A (down), FCGR1A (down), FCGR2A (down), FCGR2B (down)	ITGB3 (antagonist), ITGA2B (antagonist), FCGR3B (activates), C1R (activates), C1QA (activates), C1QB (activates), C1QC (activates), FCGR3A (activates), C1S (activates), FCGR1A (activates), FCGR2A (activates), FCGR2B (activates), FCGR2C (activates), VTN (NA)	Cluster_0	Antibody, activates FC recetptors and complement system.
Adalimumab	DB00051	TRUE	1	0.0000000	-2.7458080	0.8830000	0.32158112	3.018104e-03	1	1	0	1	0	100	100	TNF (down)	TNF (antibody)	Cluster_0	
Alefacept	DB00092	FALSE	9	0.2222222	-5.6990232	1.0035556	0.13709952	6.024791e-09	11	7	7	0	77,77777778	0	77,77777778	C1QA (down), C1QB (down), C1QC (down), FCGR3A (down), FCGR1A (down), FCGR2A (down), FCGR2B (down)	CD2 (inhibitor), C1R (activator), C1QA (activator), C1QB (activator), C1QC (activator), FCGR3A (activator), FCGR1A (activator), FCGR2A (activator), FCGR2B (activator), FCGR2C (activator), FCGR3B (activator)	Cluster_0	Antibody drug, activates FC receptors and complement system.
Alefacept	DB00092	FALSE	9	0.8888889	-5.39249153	1.758222	0.1612118	3.474369e-08	11	2	2	0	22,22222222	0	22,22222222	C1QB (down), C1QC (down)	CD2 (inhibitor), C1R (activator), C1QA (activator), C1QB (activator), C1QC (activator), FCGR3A (activator), FCGR1A (activator), FCGR2A (activator), FCGR2B (activator), FCGR2C (activator), FCGR3B (activator)	Cluster_1	Antibody drug, activates FC receptors and complement system.
Alemtuzumab	DB00087	FALSE	8	0.1250000	-6.2324224	1.0192500	0.14348354	2.296386e-10	11	7	7	0	87,5	0	87,5	C1QA (down), C1QB (down), C1QC (down), FCGR3A (down), FCGR1A (down), FCGR2A (down), FCGR2B (down)	CD52 (antibody), FCGR3B (activator), C1R (activator), C1QA (activator), C1QB (activator), C1QC (activator), FCGR3A (activator), FCGR1A (activator), FCGR2A (activator), FCGR2B (activator), FCGR2C (activator)	Cluster_0	Antibody drug, activates FC receptors and complement system.
Alemtuzumab	DB00087	FALSE	8	0.8750000	-5.01258862	1.757250	0.1760069	2.685131e-07	11	2	2	0	25	0	25	C1QB (down), C1QC (down)	CD52 (antibody), FCGR3B (activator), C1R (activator), C1QA (activator), C1QB (activator), C1QC (activator), FCGR3A (activator), FCGR1A (activator), FCGR2A (activator), FCGR2B (activator), FCGR2C (activator)	Cluster_1	Antibody drug, activates FC receptors and complement system.
Alteplase	DB00009	FALSE	2	0.5000000	-1.8944855	0.9200000	0.22169607	2.908030e-02	4	1	1	0	50	0	50	PLAUR (down)	PLG (activator), FGA (NA), PLAUR (ligand), SERPINE1 (inhibits drug)	Cluster_0	PAI (plasminogen activator inhibitor 1 - SERPINE1) binds to Alteplase and inhibits it (https://pubmed.ncbi.nlm.nih.gov/1832058/)
Alteplase	DB00009	FALSE	2	0.5000000	-2.89207475	1.460500	0.3321145	1.913534e-03	4	1	1	0	50	0	50	PLAUR (down)	PLG (activator), FGA (NA), PLAUR (ligand), SERPINE1 (inhibits drug)	Cluster_1	PAI (plasminogen activator inhibitor 1 - SERPINE1) binds to Alteplase and inhibits it (https://pubmed.ncbi.nlm.nih.gov/1832058/)
Anistreplase	DB00029	FALSE	2	0.5000000	-1.8944855	0.9200000	0.22169607	2.908030e-02	4	1	1	0	50	0	50	PLAUR (down)	PLG (activator), FGA (NA), PLAUR (ligand), SERPINE1 (inhibits drug)	Cluster_0	PAI (plasminogen activator inhibitor 1 - SERPINE1) increases when drug is administered, inhibits the drug (tPA) (https://heart.bmj.com/content/heartjnl/70/6/530.full.pdf), PLAUR not found
Anistreplase	DB00029	FALSE	2	0.5000000	-2.89207475	1.460500	0.3321145	1.913534e-03	4	1	1	0	50	0	50	PLAUR (down)	PLG (activator), FGA (NA), PLAUR (ligand), SERPINE1 (inhibits drug)	Cluster_1	PAI (plasminogen activator inhibitor 1 - SERPINE1) increases when drug is administered, inhibits the drug (tPA) (https://heart.bmj.com/content/heartjnl/70/6/530.full.pdf), PLAUR not found
