"DB00114"	"DB00126"	"DB00128"	"DB00075"	"DB00005"	"DB00054"	"DB00055"	"DB00072"	"DB00074"	"DB00119"	"DB00002"	"DB00025"	"DB00071"	"DB00078"	"DB00108"	"DB00031"	"DB00056"	"DB00081"	"DB00092"	"DB00095"	"DB00112"	"DB00121"	"DB00129"	"DB00087"	"DB00098"	"DB00013"	"DB00028"	"DB00036"	"DB00100"	"DB00118"	"DB00122"	"DB00125"	"DB00020"	"DB00115"	"DB00039"	"DB00048"	"DB00120"	"DB00004"	"DB00030"	"DB00042"	"DB00091"	"DB00117"	"DB00123"	"DB00008"	"DB00009"	"DB00019"	"DB00033"	"DB00035"	"DB00043"	"DB00046"	"DB00052"	"DB00102"	"DB00001"	"DB00012"	"DB00024"	"DB00026"	"DB00038"	"DB00040"	"DB00045"	"DB00051"	"DB00058"	"DB00061"	"DB00063"	"DB00070"	"DB00073"	"DB00082"	"DB00083"	"DB00086"	"DB00104"	"DB00107"
"8942"	"3938"	"4069"	"915"	"7124"	"3690"	"2157"	"2064"	"3559"	"9123"	"1956"	"2159"	"3643"	"931"	"3676"	"5329"	"715"	"931"	"914"	"3683"	"7422"	"5096"	"4942"	"715"	"3140"	"5329"	"2209"	"2159"	"2159"	"27232"	"9468"	"4846"	"1438"	"4548"	"2263"	"1277"	"23428"	"3559"	"3643"	"6844"	"819"	"3067"	"6541"	"3455"	"5329"	"1441"	"3459"	"554"	"2205"	"3643"	"2690"	"5159"	"2147"	"2057"	"7253"	"3554"	"3590"	"9340"	"7097"	"7124"	"1991"	"2885"	"3690"	"7040"	"931"	"2690"	"388"	"2149"	"6752"	"5020"
"6470"	"5352"	"10165"	"916"	"7133"	"3674"	"2153"	"1956"	"3560"	"6567"	"715"	"2158"	"3480"	"715"	"715"	"5054"	"712"	"715"	"715"	"715"	"715"	"3141"	"383"	"712"	"3683"	"5328"	"2212"	"3249"	"2155"	"262"	"43"	"113451"	"3563"	"4552"	"8829"	"1280"	"2193"	"3560"	"3480"	"6843"	"5478"	"3035"	"6542"	"3454"	"5054"	"1991"	"3460"	"553"	"2206"	"3480"	"5618"	"5156"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9054"	"5264"	"2805"	"917"	"2209"	"715"	"5054"	"715"	"2209"	"5313"	"712"	"7450"	"3416"	"712"	"712"	"5055"	"713"	"712"	"712"	"712"	"712"	"8884"	"4946"	"713"	"942"	"5327"	"2213"	"7035"	"2157"	"4144"	"5130"	"435"	"1439"	"166785"	"2260"	"1281"	"10667"	"3561"	"5925"	"127833"	"10105"	"3034"	"3735"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2805"	"8985"	"443"	"919"	"2214"	"712"	"7056"	"712"	"2214"	"9120"	"713"	"5264"	"3119"	"713"	"713"	"7123"	"714"	"713"	"713"	"713"	"713"	"64087"	"6542"	"714"	"2213"	"5054"	"2214"	"2677"	"2147"	"1312"	"5338"	"6541"	"6383"	"25974"	"3339"	"1278"	"10056"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4942"	"5066"	"440"	"715"	"2212"	"713"	"5627"	"713"	"2212"	"9194"	"714"	"3309"	"5925"	"714"	"714"	"3856"	"2214"	"714"	"714"	"714"	"714"	"32"	"6541"	"2214"	"920"	"5055"	"718"	"2155"	"4035"	"23070"	"5337"	"384"	"5553"	"4524"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4953"	"5033"	"445"	"712"	"2213"	"714"	"1356"	"714"	"2213"	"5162"	"2214"	"811"	"1509"	"2214"	"2214"	"302"	"716"	"2214"	"2214"	"2214"	"2214"	"56922"	"384"	"2209"	"3688"	"6768"	"721"	"2152"	"2677"	"57412"	"162466"	"445"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	"64175"	"95"	"713"	"716"	"2214"	"2147"	"716"	"716"	"5315"	"716"	"821"	"1363"	"716"	"2209"	"811"	"2209"	"2209"	"2209"	"2209"	"2209"	"5091"	"10166"	"2212"	"3685"	"4811"	"727"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"55163"	"79676"	"2806"	"714"	"715"	"716"	"5196"	"2209"	"715"	"18"	"2209"	"3998"	"5126"	"2209"	"2212"	"821"	"2212"	"2212"	"2212"	"2212"	"2212"	"5095"	"4947"	"2213"	"3690"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8879"	"121642"	"1615"	"2214"	"712"	"2209"	"5269"	"2212"	"712"	"9122"	"2212"	"4035"	"3490"	"2212"	"2213"	"4035"	"2213"	"2213"	"2213"	"2213"	"2213"	"31"	"2628"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"79896"	"55214"	"8604"	"716"	"713"	"2212"	"2677"	"2213"	"713"	"6566"	"2213"	"90411"	"94121"	"2213"	"3383"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
