DrugBank_ID	Drug_name	Drug_description
DB01281	Abatacept	A disease-modifying antirheumatic drug (DMARD) used for the management of moderate-to-severe active rheumatoid arthritis and active polyarticular juvenile idiopathic arthritis as monotherapy or in combination with other DMARDs.
DB00945	Acetylsalicylic acid	A salicylate used to treat pain, fever, inflammation, migraines, and reducing the risk of major adverse cardiovascular events.
DB00051	Adalimumab	A monoclonal anti-tumor necrosis factor alpha antibody used in the treatment of a wide variety of inflammatory conditions such as rheumatoid arthritis, Crohn's disease, and ankylosing spondylitis.
DB13167	Alclofenac	
DB00026	Anakinra	A recombinant form of human interleukin-1 receptor antagonist used in the treatment of rheumatoid arthritis and neonatal-onset multisystem inflammatory disease.
DB00995	Auranofin	An antirheumatic used to treat active, progressive, or destructive forms of inflammatory arthritis.
DB00993	Azathioprine	An immunosuppressant used to prevent renal transplant rejection, treat rheumatoid arthritis, Crohn's disease, and ulcerative colitis.
DB11817	Baricitinib	A Janus kinase inhibitor used to treat moderate to severe rheumatoid arthritis that has responded poorly to at least one TNF antagonist.
DB00443	Betamethasone	A systemic corticosteroid used to relieve inflammation in various conditions, including but not limited to allergic states, dermatologic disorders, gastrointestinal diseases, and hematological disorders.
DB00297	Bupivacaine	A local anesthetic used in a wide variety of superficial and invasive procedures.
DB00482	Celecoxib	An NSAID used to treat osteoarthritis, rheumatoid arthritis, acute pain, menstrual symptoms, and to reduce polyps is familial adenomatous polyposis.
DB08904	Certolizumab pegol	A tumor necrosis factor (TNF) blocker used to treat a variety of autoimmune and autoinflammatory conditions like Crohn's disease, rheumatoid arthritis, active psoriatic arthritis, ankylosing spondylitis, axial spondyloarthritis, and plaque psoriasis.
DB00608	Chloroquine	An antimalarial drug used to treat susceptible infections with P. vivax, P. malariae, P. ovale, and P. falciparum. It is also used for second line treatment for rheumatoid arthritis.
DB01401	Choline magnesium trisalicylate	Choline magnesium trisalicylate is used to reduce pain and inflammation caused by conditions such as arthritis. This medication is also used to treat fever in adults.
DB01285	Corticotropin	A diagnostic agent used in the screening of patients presumed to have adrenocortical insufficiency.
DB01380	Cortisone acetate	A steroid hormone used for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses and endocrine disorders associated with inadequate production of steroid hormones.
DB00091	Cyclosporine	A steroid-sparing immunosuppressant used in organ and bone marrow transplants as well as inflammatory conditions such as ulcerative colitis, rheumatoid arthritis, and atopic dermatitis.
