"human_gene_symbol"	"human_entrez_ID"	"mouse_gene_symbol"	"mouse_entrez_ID"
"ACADM"	"       34"	"Acadm"	"    11364"
"ACADVL"	"       37"	"Acadvl"	"    11370"
"ACAT1"	"       38"	"Acat1"	"   110446"
"ACVR1"	"       90"	"Acvr1"	"    11477"
"ADSL"	"      158"	"Adsl"	"    11564"
"AGA"	"      175"	"Aga"	"    11593"
"AGT"	"      183"	"Agt"	"    11606"
"ALAD"	"      210"	"Alad"	"    17025"
"ALAS2"	"      212"	"Alas2"	"    11656"
"AMPD1"	"      270"	"Ampd1"	"   229665"
"FAS"	"      355"	"Fas"	"    14102"
"AR"	"      367"	"Ar"	"    11835"
"ARG1"	"      383"	"Arg1"	"    11846"
"ASL"	"      435"	"Asl"	"   109900"
"ASPA"	"      443"	"Aspa"	"    11484"
"ATP7A"	"      538"	"Atp7a"	"    11977"
"BCKDHB"	"      594"	"Bckdhb"	"    12040"
"BRCA2"	"      675"	"Brca2"	"    12190"
"SERPING1"	"      710"	"Serping1"	"    12258"
"C2"	"      717"	"C2"	"    12263"
"CAPN3"	"      825"	"Capn3"	"    12335"
"CD3G"	"      917"	"Cd3g"	"    12502"
"CHRNA1"	"     1134"	"Chrna1"	"    11435"
"LYST"	"     1130"	"Lyst"	"    17101"
"ERCC8"	"     1161"	"Ercc8"	"    71991"
"CLCN1"	"     1180"	"Clcn1"	"    12723"
"CLCNKB"	"     1188"	"Clcnka"	"    12733"
"COL1A2"	"     1278"	"Col1a2"	"    12843"
"COL7A1"	"     1294"	"Col7a1"	"    12836"
"COMP"	"     1311"	"Comp"	"    12845"
"CP"	"     1356"	"Cp"	"    12870"
"CPOX"	"     1371"	"Cpox"	"    12892"
"CPT2"	"     1376"	"Cpt2"	"    12896"
"CST3"	"     1471"	"Cst3"	"    13010"
"CSTB"	"     1476"	"Cstb"	"    13014"
"CYBA"	"     1535"	"Cyba"	"    13057"
"DDB2"	"     1643"	"Ddb2"	"   107986"
"DLD"	"     1738"	"Dld"	"    13382"
"EDNRB"	"     1910"	"Ednrb"	"    13618"
"EMD"	"     2010"	"Emd"	"    13726"
"ENG"	"     2022"	"Eng"	"    13805"
"EPB42"	"     2038"	"Epb42"	"    13828"
"EPHX1"	"     2052"	"Ephx1"	"    13849"
"EPOR"	"     2057"	"Epor"	"    13857"
"ERCC3"	"     2071"	"Ercc3"	"    13872"
"ETFA"	"     2108"	"Etfa"	"   110842"
"F5"	"     2153"	"F5"	"    14067"
"F9"	"     2158"	"F9"	"    14071"
"FANCA"	"     2175"	"Fanca"	"    14087"
"FANCC"	"     2176"	"Fancc"	"    14088"
"FAH"	"     2184"	"Fah"	"    14085"
"MS4A2"	"     2206"	"Ms4a2"	"    14126"
"FECH"	"     2235"	"Fech"	"    14151"
"FH"	"     2271"	"Fh1"	"    14194"
"FUCA2"	"     2519"	"Fuca2"	"    66848"
"GALC"	"     2581"	"Galc"	"    14420"
"GALK1"	"     2584"	"Galk1"	"    14635"
"GALT"	"     2592"	"Galt"	"    14430"
"GBE1"	"     2632"	"Gbe1"	"    74185"
"GCDH"	"     2639"	"Gcdh"	"   270076"
"GCH1"	"     2643"	"Gch1"	"    14528"
"GHR"	"     2690"	"Ghr"	"    14600"
"GJA1"	"     2697"	"Gja1"	"    14609"
"GLI3"	"     2737"	"Gli3"	"    14634"
"GP1BA"	"     2811"	"Gp1ba"	"    14723"
"GP9"	"     2815"	"Gp9"	"    54368"
"GPI"	"     2821"	"Gpi1"	"    14751"
"GSN"	"     2934"	"Gsn"	"   227753"
"GSS"	"     2937"	"Gss"	"    14854"
"MSH6"	"     2956"	"Msh6"	"    17688"
"HADHA"	"     3030"	"Hadha"	"    97212"
