"HGNC.ID"	"Approved.symbol"	"Approved.name"	"Previous.symbols"	"Alias.symbols"	"NCBI.Gene.ID"	"Ensembl.gene.ID"
"HGNC:5"	"A1BG"	"alpha-1-B glycoprotein"	""	""	1	"ENSG00000121410"
"HGNC:37133"	"A1BG-AS1"	"A1BG antisense RNA 1"	"NCRNA00181, A1BGAS, A1BG-AS"	"FLJ23569"	503538	"ENSG00000268895"
"HGNC:24086"	"A1CF"	"APOBEC1 complementation factor"	""	"ACF, ASP, ACF64, ACF65, APOBEC1CF"	29974	"ENSG00000148584"
"HGNC:7"	"A2M"	"alpha-2-macroglobulin"	""	"FWP007, S863-7, CPAMD5"	2	"ENSG00000175899"
"HGNC:27057"	"A2M-AS1"	"A2M antisense RNA 1"	""	""	144571	"ENSG00000245105"
"HGNC:23336"	"A2ML1"	"alpha-2-macroglobulin like 1"	"CPAMD9"	"FLJ25179, p170"	144568	"ENSG00000166535"
"HGNC:8"	"A2MP1"	"alpha-2-macroglobulin pseudogene 1"	"A2MP"	""	3	"ENSG00000256069"
"HGNC:30005"	"A3GALT2"	"alpha 1,3-galactosyltransferase 2"	"A3GALT2P"	"IGBS3S, IGB3S"	127550	"ENSG00000184389"
"HGNC:18149"	"A4GALT"	"alpha 1,4-galactosyltransferase (P blood group)"	"P1"	"A14GALT, Gb3S, P(k)"	53947	"ENSG00000128274"
"HGNC:17968"	"A4GNT"	"alpha-1,4-N-acetylglucosaminyltransferase"	""	"alpha4GnT"	51146	"ENSG00000118017"
"HGNC:13666"	"AAAS"	"aladin WD repeat nucleoporin"	""	""	8086	"ENSG00000094914"
"HGNC:21298"	"AACS"	"acetoacetyl-CoA synthetase"	""	"FLJ12389, SUR-5, ACSF1"	65985	"ENSG00000081760"
"HGNC:18226"	"AACSP1"	"acetoacetyl-CoA synthetase pseudogene 1"	"AACSL"	""	729522	"ENSG00000250420"
"HGNC:17"	"AADAC"	"arylacetamide deacetylase"	""	"DAC, CES5A1"	13	"ENSG00000114771"
"HGNC:24427"	"AADACL2"	"arylacetamide deacetylase like 2"	""	"MGC72001"	344752	"ENSG00000197953"
"HGNC:50301"	"AADACL2-AS1"	"AADACL2 antisense RNA 1"	""	""	101928142	"ENSG00000242908"
"HGNC:32037"	"AADACL3"	"arylacetamide deacetylase like 3"	""	"OTTHUMG00000001887"	126767	"ENSG00000188984"
"HGNC:32038"	"AADACL4"	"arylacetamide deacetylase like 4"	""	"OTTHUMG00000001889"	343066	"ENSG00000204518"
"HGNC:50305"	"AADACP1"	"arylacetamide deacetylase pseudogene 1"	""	""	201651	"ENSG00000240602"
"HGNC:17929"	"AADAT"	"aminoadipate aminotransferase"	""	"KATII, KAT2, KYAT2"	51166	"ENSG00000109576"
"HGNC:25662"	"AAGAB"	"alpha and gamma adaptin binding protein"	""	"FLJ11506, p34"	79719	"ENSG00000103591"
"HGNC:19679"	"AAK1"	"AP2 associated kinase 1"	""	"KIAA1048, DKFZp686K16132"	22848	"ENSG00000115977"
"HGNC:30205"	"AAMDC"	"adipogenesis associated Mth938 domain containing"	"C11orf67"	"PTD015, FLJ21035, CK067"	28971	"ENSG00000087884"
"HGNC:18"	"AAMP"	"angio associated migratory cell protein"	""	""	14	"ENSG00000127837"
"HGNC:19"	"AANAT"	"aralkylamine N-acetyltransferase"	""	"SNAT"	15	"ENSG00000129673"
"HGNC:15886"	"AAR2"	"AAR2 splicing factor"	"C20orf4"	"bA234K24.2"	25980	"ENSG00000131043"
"HGNC:33842"	"AARD"	"alanine and arginine rich domain containing protein"	"C8orf85"	"LOC441376"	441376	"ENSG00000205002"
"HGNC:20"	"AARS1"	"alanyl-tRNA synthetase 1"	"AARS"	"CMT2N, AlaRS"	16	"ENSG00000090861"
"HGNC:49894"	"AARS1P1"	"alanyl-tRNA synthetase 1 pseudogene 1"	"AARSP1"	""	106480683	"ENSG00000249038"
"HGNC:21022"	"AARS2"	"alanyl-tRNA synthetase 2, mitochondrial"	"AARSL"	"KIAA1270, bA444E17.1"	57505	"ENSG00000124608"
"HGNC:28417"	"AARSD1"	"alanyl-tRNA synthetase domain containing 1"	""	"MGC2744"	80755	"ENSG00000266967"
"HGNC:23993"	"AASDH"	"aminoadipate-semialdehyde dehydrogenase"	""	"NRPS998, LYS2, ACSF4"	132949	"ENSG00000157426"
"HGNC:14235"	"AASDHPPT"	"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	""	"LYS5, CGI-80, AASD-PPT, ACPS"	60496	"ENSG00000149313"
"HGNC:17366"	"AASS"	"aminoadipate-semialdehyde synthase"	""	"LORSDH, LKRSDH"	10157	"ENSG00000008311"
"HGNC:51526"	"AATBC"	"apoptosis associated transcript in bladder cancer"	""	""	284837	"ENSG00000215458"
"HGNC:19235"	"AATF"	"apoptosis antagonizing transcription factor"	""	"DED, CHE-1, CHE1, BFR2"	26574	"ENSG00000275700"
"HGNC:21"	"AATK"	"apoptosis associated tyrosine kinase"	""	"AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77"	9625	"ENSG00000181409"
"HGNC:49667"	"ABALON"	"apoptotic BCL2L1-antisense long non-coding RNA"	""	"INXS"	103021294	"ENSG00000281376"
"HGNC:23"	"ABAT"	"4-aminobutyrate aminotransferase"	""	"GABAT, GABA-T"	18	"ENSG00000183044"
"HGNC:29"	"ABCA1"	"ATP binding cassette subfamily A member 1"	"ABC1, HDLDT1"	"TGD"	19	"ENSG00000165029"
"HGNC:32"	"ABCA2"	"ATP binding cassette subfamily A member 2"	"ABC2"	""	20	"ENSG00000107331"
"HGNC:33"	"ABCA3"	"ATP binding cassette subfamily A member 3"	"ABC3"	"ABC-C, EST111653, LBM180"	21	"ENSG00000167972"
"HGNC:34"	"ABCA4"	"ATP binding cassette subfamily A member 4"	"STGD1, ABCR, RP19, STGD"	"FFM, ARMD2, CORD3"	24	"ENSG00000198691"
"HGNC:35"	"ABCA5"	"ATP binding cassette subfamily A member 5"	""	"EST90625"	23461	"ENSG00000154265"
"HGNC:36"	"ABCA6"	"ATP binding cassette subfamily A member 6"	""	"EST155051"	23460	"ENSG00000154262"
"HGNC:37"	"ABCA7"	"ATP binding cassette subfamily A member 7"	""	"ABCX"	10347	"ENSG00000064687"
"HGNC:38"	"ABCA8"	"ATP binding cassette subfamily A member 8"	""	"KIAA0822"	10351	"ENSG00000141338"
"HGNC:39"	"ABCA9"	"ATP binding cassette subfamily A member 9"	""	"EST640918"	10350	"ENSG00000154258"
"HGNC:30"	"ABCA10"	"ATP binding cassette subfamily A member 10"	""	"EST698739"	10349	"ENSG00000154263"
"HGNC:31"	"ABCA11P"	"ATP binding cassette subfamily A member 11, pseudogene"	"ABCA11"	"EST1133530, FLJ14297"	79963	"ENSG00000251595"
"HGNC:14637"	"ABCA12"	"ATP binding cassette subfamily A member 12"	"ICR2B"	"DKFZP434G232, LI2"	26154	"ENSG00000144452"
"HGNC:14638"	"ABCA13"	"ATP binding cassette subfamily A member 13"	""	"FLJ33876, FLJ33951"	154664	"ENSG00000179869"
"HGNC:32972"	"ABCA17P"	"ATP binding cassette subfamily A member 17, pseudogene"	""	""	650655	"ENSG00000238098"
"HGNC:40"	"ABCB1"	"ATP binding cassette subfamily B member 1"	"PGY1, MDR1, CLCS"	"P-gp, CD243, GP170, ABC20"	5243	"ENSG00000085563"
"HGNC:45"	"ABCB4"	"ATP binding cassette subfamily B member 4"	"PGY3, MDR3"	"MDR2, PFIC-3, GBD1"	5244	"ENSG00000005471"
"HGNC:46"	"ABCB5"	"ATP binding cassette subfamily B member 5"	""	"EST422562, ABCB5beta, ABCB5alpha"	340273	"ENSG00000004846"
"HGNC:47"	"ABCB6"	"ATP binding cassette subfamily B member 6 (Langereis blood group)"	""	"EST45597, umat, MTABC3"	10058	"ENSG00000115657"
"HGNC:48"	"ABCB7"	"ATP binding cassette subfamily B member 7"	"ABC7"	"EST140535, Atm1p, ASAT"	22	"ENSG00000131269"
"HGNC:49"	"ABCB8"	"ATP binding cassette subfamily B member 8"	""	"EST328128, M-ABC1, MABC1, MITOSUR"	11194	"ENSG00000197150"
"HGNC:50"	"ABCB9"	"ATP binding cassette subfamily B member 9"	""	"EST122234"	23457	"ENSG00000150967"
"HGNC:41"	"ABCB10"	"ATP binding cassette subfamily B member 10"	""	"EST20237, M-ABC2, MTABC2"	23456	"ENSG00000135776"
"HGNC:14114"	"ABCB10P1"	"ABCB10 pseudogene 1"	"ABCB10P, ABCB10P2"	"M-ABC2, MABC2"	56476	"ENSG00000274099"
"HGNC:31129"	"ABCB10P3"	"ABCB10 pseudogene 3"	""	""	728248	"ENSG00000261524"
